          x_f      vx_f           y_f      vy_f
-6.397983e-05 -0.018400 -7.636645e-03  0.135251
 2.663984e-03 -0.509388  5.486401e-03 -0.886503
-2.892746e-03  1.855244 -3.386937e-03 -1.104941
 3.976655e-03  0.546320  1.596958e-02  1.404044
-1.046933e-02  1.064083  2.246077e-03  0.504500
 1.581009e-03 -0.894387  1.023794e-04 -0.494252
-5.619096e-03  0.462196 -5.031932e-03 -2.046412
 1.789758e-03  0.308227  6.613917e-04 -0.115443
 1.100740e-02  0.975509  1.692929e-03 -0.348493
-1.735017e-04 -1.005695 -1.023768e-03 -0.477873
-2.758316e-03  0.533875 -1.265550e-03 -0.563096
 8.502258e-03  0.677457 -1.195195e-02 -0.159221
-3.786023e-03 -1.493900 -6.826250e-03 -2.022455
 6.269838e-03  1.169578 -8.918649e-03 -1.568514
 4.793832e-03  0.245162 -3.383632e-03  0.503187
-2.968906e-03 -1.176204  7.301006e-03  1.642370
-1.362782e-02 -0.110788 -1.754459e-04  2.251077
-1.255701e-03 -0.169107  6.712322e-04 -0.228992
 7.598677e-03  1.819143 -5.095886e-03 -1.406346
 9.429999e-03  0.971496 -5.720328e-03 -0.618390
 1.081527e-04  0.597182  6.074882e-03  1.098481
 1.512319e-02  0.439136 -1.436170e-03  0.127863
 2.622647e-03 -0.182728 -3.442809e-03 -0.102739
-7.584882e-03 -0.116624 -4.695482e-03  0.591460
-1.134726e-03 -0.338131  1.467020e-03 -0.100820
 1.403927e-03  1.239238  8.683283e-03  1.406515
-6.878674e-03  0.253624  2.953499e-03  0.622872
 4.234875e-03 -0.002339 -3.829317e-03 -2.780167
 3.845028e-04 -1.126498  6.823256e-04  0.017284
-4.045444e-03  0.291330  8.706369e-04  1.652406
-5.065488e-03  0.605243 -2.932488e-03 -0.787159
 1.441124e-02  1.598639 -3.616785e-03 -0.094226
-1.437261e-03 -0.532933 -1.354201e-03 -0.272001
 9.010813e-03  0.042644  2.690623e-03 -0.181544
 8.491006e-03  1.852100  2.619240e-03  0.383029
-3.591253e-03  0.510292 -7.653326e-03  1.242505
 7.125395e-03  0.216098 -8.870916e-03  1.042524
 5.859668e-03  2.424877 -6.619434e-05  0.046926
-6.425217e-03 -1.021050 -4.641094e-03  0.006827
 3.148592e-04  0.554720  2.843633e-03  0.764872
 4.286434e-03 -0.803675  8.830643e-04 -0.127332
-1.381009e-03  0.566986 -2.220663e-03  0.839627
 2.211170e-03 -0.502989 -2.848842e-03  0.644428
-3.382371e-04 -0.601485  3.064269e-03 -0.298506
 4.256987e-03  0.153215  9.566167e-04  0.501026
 7.845138e-03  0.136190 -4.272799e-03 -0.172604
-8.663392e-04 -2.119645 -1.999213e-03 -2.604374
 2.499394e-04 -0.477408 -3.533454e-03  0.852535
-3.699387e-03 -0.601379 -1.232681e-02 -0.361781
 5.236087e-03  0.984693  8.805917e-03  1.605384
 1.406945e-02  1.730081  2.444402e-05  0.861090
 8.483976e-03  0.025868  3.454521e-03  0.067202
 8.584226e-04  1.735065 -2.368547e-03  0.437085
 4.659069e-03 -0.699931  3.484258e-03  0.142243
 5.912580e-03  2.342224  7.534322e-03 -0.166794
