          x_f      vx_f       y_f      vy_f
 6.317449e-02  4.448464  0.006225  0.423072
 5.247068e-02  4.667477 -0.020823 -1.462049
 4.800931e-03  0.523161  0.032692  3.632097
-3.680680e-02 -3.277861  0.050652  4.087868
-3.262801e-02 -3.753087  0.009585  1.080357
-1.248648e-02 -1.368664 -0.032419 -3.542262
-4.383927e-02 -4.108458  0.023216  2.150485
 4.996005e-02  4.811662 -0.005469 -0.618782
 2.442383e-02  3.151139  0.012147  1.572300
 1.471269e-02  1.813764  0.024541  2.887034
-3.482826e-02 -2.938394 -0.027101 -2.595462
-4.410466e-02 -3.874367 -0.004112 -0.473172
-3.035998e-02 -2.379629  0.046079  3.855990
-4.830119e-02 -3.808063 -0.057193 -4.371938
 3.249502e-02  3.121482 -0.039752 -3.740878
 3.425669e-02  2.337006  0.053705  4.251520
-3.439123e-02 -3.393958  0.019275  1.899767
 4.210860e-02  4.090055  0.022390  2.030553
 3.090895e-02  3.036654 -0.030440 -2.936029
 2.369904e-02  1.728656  0.061570  4.460352
 6.751631e-02  4.900507  0.003827  0.150245
-3.080832e-02 -3.692539  0.000591  0.092784
-5.497343e-02 -4.816790 -0.016494 -1.317319
 1.848641e-02  1.396198  0.060418  4.747395
 3.078237e-02  3.220266  0.031363  3.295787
 2.263937e-02  2.452930  0.029409  3.177622
 2.490116e-02  2.195757  0.052891  4.257012
 3.866854e-02  3.806720  0.004399  0.464496
-2.209654e-02 -2.208371  0.025198  2.248524
-3.019143e-03 -0.270178 -0.037978 -3.727769
 5.479569e-02  4.988129 -0.002985 -0.261333
 3.733500e-02  3.420374 -0.028455 -2.227434
-1.317023e-02 -1.539270 -0.030687 -3.509565
 5.362738e-02  4.724533  0.024893  2.327464
-4.279586e-02 -3.710287  0.017416  1.549472
-1.124623e-02 -1.077319  0.049075  4.731370
-2.404081e-02 -2.403115  0.030215  3.011338
-1.835902e-02 -1.900936 -0.032807 -3.646956
 4.552524e-02  4.349693 -0.009753 -0.826402
 1.479011e-02  1.566147  0.038609  4.097583
 1.561310e-02  1.604474 -0.038965 -4.026111
 3.212067e-02  2.954110  0.048324  4.020731
 4.892752e-02  3.885710  0.002282  0.181812
 4.292750e-02  3.725527 -0.001379 -0.113591
 4.228451e-02  3.657173 -0.023727 -2.349350
 8.092255e-04  0.094030 -0.048810 -4.065769
 5.467865e-02  4.794141 -0.002860 -0.028951
-4.012013e-02 -4.121677 -0.009559 -0.974758
 4.320445e-02  3.831564  0.019371  1.816957
 1.563661e-02  2.522391 -0.004232 -0.629227
 9.115529e-03  0.941231 -0.041424 -4.298247
-3.024560e-02 -2.824676 -0.027870 -2.600888
-2.460278e-02 -2.583297  0.033800  3.578695
 1.281513e-02  1.130416  0.060648  5.525710
-2.208990e-02 -3.165721  0.003856  0.552737
-5.620248e-02 -3.802748  0.026088  1.671766
-1.951014e-02 -2.047913 -0.031899 -3.348818
 2.426270e-02  2.512551 -0.022040 -2.421362
 4.775993e-02  4.393945 -0.017121 -1.399692
-3.842867e-02 -3.766407  0.014877  1.564931
 3.559218e-02  3.744158  0.010798  1.116034
-4.538023e-02 -3.427652  0.014938  1.463232
 3.197205e-02  3.212174 -0.009991 -1.035381
-3.733692e-02 -3.912298 -0.002923 -0.310953
 1.088067e-02  0.998969  0.049775  4.730014
-1.852939e-02 -2.115020  0.030512  3.496897
 6.310596e-02  4.695576  0.024891  2.176195
-3.940067e-02 -3.531207 -0.036960 -3.138842
 3.030958e-02  2.426201  0.036347  3.300570
 2.047466e-02  2.147449 -0.032383 -3.409115
 3.054785e-02  2.609957  0.041084  3.786130
 2.530897e-02  2.132273 -0.073091 -4.845848
-1.540616e-02 -1.666522  0.036188  4.005713
 3.340878e-02  3.710943  0.001685  0.195366
-1.531366e-02 -1.549589  0.035667  3.597642
-4.274514e-02 -4.132885  0.004257  0.420769
-2.730466e-02 -1.912828  0.046065  3.389184
 4.174054e-02  3.658054 -0.026773 -2.523510
 1.868174e-02  1.762100 -0.043504 -4.177297
-2.916283e-02 -3.245572  0.001408  0.108298
-4.291520e-03  0.069179  0.044198  3.654792
-3.957215e-02 -3.723468 -0.015484 -1.445681
-1.881222e-02 -2.081227  0.024592  2.624469
 3.455072e-02  3.419681  0.033407  3.322911
-7.695287e-04 -0.046190 -0.047195 -3.569138
 5.782721e-02  4.966386  0.027635  2.157212
 3.838167e-03  0.414733 -0.037542 -4.089202
-1.070902e-02 -1.105634 -0.034078 -3.561010
 3.883915e-02  3.290700  0.017201  1.459732
-2.336524e-02 -2.398360 -0.029188 -2.971762
-3.375680e-02 -3.218860 -0.027678 -2.637075
 5.982310e-03  0.560402  0.046339  3.901460
 4.480354e-02  3.971232  0.016088  1.420716
 5.033781e-02  3.845051  0.011462  1.069096
-7.562676e-02 -5.476512  0.013024  0.839875
-3.764618e-02 -2.735069  0.039192  3.377507
-3.858996e-02 -3.863663  0.020670  1.821518
 1.108423e-02  1.279377  0.032095  3.680346
-3.886598e-02 -4.200044 -0.003823 -0.423449
-4.558733e-02 -3.785219  0.012382  1.037618
-5.665748e-02 -4.770322 -0.022120 -1.729344
-1.288197e-02 -1.291060 -0.037342 -3.849359
-4.708917e-02 -4.534063  0.010858  1.018004
 4.016809e-02  3.738610 -0.023012 -1.988333
